ms,ca,cb,caper,cbper,q,qdes,dq,dqdes,pa,pb,Ta,Tb,pid_u
0,2.883660073253613,3.116339926746387,57.67320146507226,62.32679853492774,0.0,-15.511893050846533,0.0,0.0,362.00183150183153,361.4551282051283,2.618885864864992,2.678942923654376,-2.326798534927738
33,2.760837547626803,3.239162452373197,55.21675095253606,64.78324904746394,0.0,-15.511893050846533,0.0,0.0,362.91300366300374,366.37545787545787,2.618820414885229,2.680132069198599,-2.456450512536199
66,2.6537273874298215,3.3462726125701776,53.07454774859644,66.92545225140356,-0.966796875,-15.511893050846533,-29.031973200271977,0.0,352.525641025641,378.76739926739936,2.618820414885229,2.6971322148962145,-2.142203203939623
100,2.5924790748403557,3.4075209251596443,51.84958149680712,68.15041850319288,-3.8671875,-15.511893050846533,-86.959551715045,0.0,337.0357142857143,387.51465201465203,2.6189546332358704,2.6955445036523886,-1.2249662517893145
133,2.541409998094717,3.458590001905284,50.828199961894335,69.17180003810567,-6.416015625,-15.511893050846533,-76.64744171618007,0.0,323.7326007326007,396.0796703296703,2.623002749243689,2.6955445036523886,-1.0213815349127855
166,2.4763760134435158,3.5236239865564842,49.52752026887032,70.47247973112968,-7.646484375,-15.511893050846533,-36.830052781441445,0.0,310.06501831501834,406.64926739926744,2.6045174500527297,2.6698571742946062,-1.3006796930240143
200,2.4461480994673392,3.553851900532661,48.92296198934678,71.07703801065323,-10.107421875,-15.511893050846533,-74.02017255914373,0.0,300.77106227106225,415.03205128205127,2.6045174500527297,2.6730261462473637,-0.6045582795235395
233,2.422960000457769,3.577039999542231,48.45920000915539,71.54079999084462,-12.12890625,-15.511893050846533,-60.59881913662348,0.0,292.9349816849817,423.41483516483515,2.5929486622721547,2.644731470242853,-0.4637619801913937
266,2.382136294485539,3.617863705514461,47.64272588971078,72.35727411028923,-12.744140625,-15.511893050846533,-18.41128124143541,0.0,289.4725274725275,433.0732600732601,2.5904050867635227,2.644731470242853,-0.8164741194446083
300,2.349084431863639,3.650915568136361,46.98168863727278,73.01831136272722,-13.53515625,-15.511893050846533,-23.73658946669352,0.0,288.7435897435898,438.1758241758241,2.5873307504097887,2.6602725586167866,-0.6610372524380042
333,2.315432928610688,3.684567071389312,46.30865857221376,73.69134142778624,-14.0625,-15.511893050846533,-15.833939980207136,0.0,284.0054945054944,441.82051282051276,2.587595361159793,2.6601819366624344,-0.6730300650590265
366,2.46620224597598,3.5337977540240204,49.3240449195196,70.6759550804804,-14.58984375,7.332835371672084,-15.786688432336684,0.0,279.8141025641025,444.00732600732596,2.587595361159793,2.658824195158069,3.0153863473058404
400,2.6343308695785193,3.3656691304214807,52.68661739157039,67.31338260842962,-15.29296875,7.332835371672084,-21.18326326866793,0.0,281.08974358974353,442.91391941391936,2.5789354479117206,2.658824195158069,3.362572472050784
433,2.787265932412082,3.212734067587918,55.745318648241636,64.25468135175836,-14.677734375,7.332835371672084,18.387172131498705,0.0,290.930402930403,424.5082417582417,2.5864727790774027,2.6434514732396,3.0587012566712493
466,2.881825088376634,3.118174911623366,57.636501767532685,62.363498232467315,-11.337890625,7.332835371672084,100.54600086275093,0.0,305.5091575091575,409.9294871794872,2.592759063608487,2.626364289957071,1.891183119291049
500,2.958154971137303,3.041845028862697,59.163099422746065,60.836900577253935,-7.998046875,7.332835371672084,99.7408393747057,0.0,316.9899267399268,391.5238095238095,2.592759063608487,2.664549447429305,1.5265976552133822
533,3.0605069982310833,2.9394930017689167,61.21013996462167,58.78986003537833,-6.6796875,7.332835371672084,39.58744714413371,0.0,330.83974358974353,374.94047619047615,2.5816396405981963,2.664549447429305,2.0470405418756017
