ms,ca,cb,caper,cbper,q,qdes,dq,dqdes,pa,pb,Ta,Tb,pid_u
0,3.000000581633481,2.999999418366519,60.00001163266962,59.99998836733038,0.0,2.132792830026887e-09,0.0,0.0011632349695389404,362.184065934066,361.0906593406594,2.6011512300341035,2.6614445669878717,1.1632669616269148e-05
33,3.006684651255092,2.993315348744908,60.13369302510185,59.86630697489815,0.0,0.17631650223503686,0.0,10.576442056502295,362.184065934066,360.72619047619054,2.6006509828933027,2.6624073504372334,0.13368139243223248
66,3.022947550708652,2.977052449291348,60.45895101417303,59.54104898582697,0.0,0.7071333718291597,0.0,21.180869297540152,362.00183150183153,361.2728937728938,2.600890387219742,2.661502759409169,0.32525798907118564
100,3.051750141680206,2.948249858319794,61.03500283360412,58.96499716639588,0.0,1.5874396288501569,0.0,31.735235282856248,363.459706959707,360.72619047619054,2.600890387219742,2.6615693728737444,0.5760518194310855
133,3.0962814978344095,2.9037185021655905,61.92562995668819,58.07437004331181,0.0,2.822363818133961,0.0,42.315513123455936,365.82875457875457,361.2728937728938,2.603282963523714,2.6615693728737444,0.8906271230840697
166,3.1518429664071608,2.8481570335928392,63.03685932814321,56.96314067185679,0.3515625,4.4132894059017564,10.521951968636822,52.91445378238897,369.4734432234432,362.184065934066,2.6085729703534115,2.662647056421644,1.1112293714550168
200,3.222817879019874,2.777182120980126,64.45635758039748,55.54364241960252,0.87890625,6.3467357764110055,15.869820784192543,63.45536152623777,375.85164835164835,355.9880952380953,2.6189772682816597,2.6708488768415712,1.4194982522542745
233,3.297284708229248,2.702715291770752,65.94569416458496,54.054305835415036,2.197265625,8.64148131129561,39.49740209672702,74.04354631291832,382.95879120879124,344.14285714285717,2.6189772682816597,2.662705288286216,1.48933658418748
266,3.3681658547763624,2.6318341452236376,67.36331709552725,52.63668290447275,4.482421875,11.291384603596166,68.4199904287232,84.63825752106109,390.4304029304029,331.7509157509157,2.6221216308532114,2.662705288286216,1.417622930942283
300,3.455704537201317,2.544295462798683,69.11409074402634,50.88590925597366,6.328125,14.169464758620467,55.36024922618542,82.87220279107586,400.81776556776555,320.0879120879121,2.6062382188128237,2.657694446645953,1.750773648499091
333,3.552964759214996,2.447035240785004,71.05929518429993,48.94070481570007,7.91015625,16.746425598528873,47.64304828646979,72.3387258528405,410.65842490842493,308.97161172161174,2.603874155449152,2.644854224454055,1.9452044402735895
366,3.6439955977107092,2.356004402289291,72.87991195421418,47.12008804578582,9.931640625,18.989983231356803,60.39514640683024,61.721169323746636,419.9523809523809,298.03754578754575,2.603874155449152,2.62990173768427,1.8206167699142561
400,3.7381848157214392,2.2618151842785608,74.76369631442878,45.236303685571215,11.689453125,20.865111595627514,52.92093293290391,51.18455003614654,428.3351648351648,286.5567765567766,2.59411341040044,2.6162926663542554,1.8837843602146016
433,3.8293221898458842,2.1706778101541158,76.58644379691768,43.413556203082315,13.447265625,22.399720575250548,52.552263011326026,40.57401319706786,437.9935897435897,275.2582417582417,2.5807359842966036,2.6162926663542554,1.8227474824888983
466,3.912036343899057,2.0879636561009436,78.24072687798113,41.759273122018875,15.29296875,23.571318222314773,55.62888244825199,30.04911887915307,446.37637362637355,265.23534798534797,2.5620777912977535,2.594744986942356,1.6542830810634461
500,3.987057639963018,2.012942360036982,79.74115279926036,40.25884720073964,17.05078125,24.398480321314885,52.591979582037126,19.446594937478167,453.84798534798534,253.75457875457874,2.5620777912977535,2.5770830363565693,1.5004259212792352
533,4.051639619511843,1.948360380488157,81.03279239023686,38.96720760976314,18.720703125,24.870739308739054,50.051814299298805,8.863015821683433,461.8663003663003,243.36721611721612,2.5316443847611927,2.5497417193270957,1.2916395909764957
566,4.100277567564396,1.8997224324356043,82.00555135128792,37.99444864871209,20.478515625,24.99611006573961,52.93099458505572,0.5900815897832071,470.9780219780219,235.16666666666663,2.501928518125075,2.5497417193270957,0.9727589610510482
600,4.141538416775119,1.8584615832248819,82.83076833550237,37.16923166449764,22.1484375,25.07813570019768,50.04703517542882,4.326483519599338,478.2673992673993,227.14835164835165,2.462155829857026,2.5299505443929524,0.825216984214443
633,4.1843216521706355,1.815678347829364,83.68643304341272,36.31356695658728,23.37890625,25.284283784246906,36.95237731262388,8.055239761160863,487.014652014652,221.6813186813187,2.4403481234836653,2.509258045096304,0.8556647079103512
666,4.225610047210652,1.7743899527893483,84.51220094421303,35.487799055786965,24.43359375,25.60611694670572,31.52177749698101,9.646987634234367,493.9395604395604,216.9432234432234,2.4403481234836653,2.494369857968926,0.8257679008003171
700,4.263168286941049,1.7368317130589517,85.26336573882097,34.736634261179034,25.3125,25.86509857473789,26.417297942186554,5.921441488390185,501.22893772893775,213.11630036630032,2.4262812567918517,2.494369857968926,0.751164794607928
733,4.297276058766941,1.7027239412330595,85.94552117533881,34.05447882466119,26.015625,26.000428339846007,21.047846750352473,2.1806745130516774,509.79395604395603,208.1959706959707,2.4212589834422804,2.4852500209481834,0.6821554365178463
766,4.315453483732096,1.6845465162679047,86.3090696746419,33.690930325358096,26.982421875,25.979942027489127,29.04392791288543,-6.040441518619323,515.4432234432235,204.55128205128207,2.411116551448099,2.47195088298941,0.36354849930308925
800,4.3188039436614645,1.6811960563385355,86.37607887322929,33.62392112677071,27.7734375,25.536278639172856,23.751995423405262,-20.60350946229974,523.4615384615385,202.91117216117217,2.411116551448099,2.465797955277694,0.06700919858738935
833,4.308358908961566,1.6916410910384345,86.16717817923131,33.83282182076869,28.212890625,24.604505688278874,13.160580367846585,-35.20527699166304,524.9194139194138,201.45329670329673,2.3970909781829017,2.465797955277694,-0.20890069399798122
866,4.284472480550858,1.7155275194491424,85.68944961101715,34.31055038898285,28.212890625,23.186841803529195,0.0,-49.7922418697107,520.728021978022,200.54212454212455,2.386391320351724,2.466770931396943,-0.47772856821416015
900,4.236184183410172,1.763815816589828,84.72368366820345,35.27631633179656,28.212890625,21.287585724565197,0.0,-64.34526005563971,522.368131868132,202.18223443223445,2.3867293107298524,2.463117577554352,-0.965765942813712
933,4.160904168224146,1.8390958317758537,83.21808336448292,36.78191663551708,28.125,18.905423168348605,-2.6423621489495757,-78.89040748436679,523.4615384615385,202.0,2.3867293107298524,2.463660222343887,-1.5056003037205252
966,4.051759918633652,1.9482400813663472,81.03519837267305,38.96480162732694,28.125,16.025993320797184,0.0,-90.66544847301033,519.452380952381,205.82692307692307,2.3884597666774803,2.463660222343887,-2.182884991809864
1000,3.9450327841434905,2.0549672158565095,78.90065568286981,41.09934431713019,27.158203125,13.248038111048599,-29.018646851366466,-76.09657421269144,504.87362637362645,220.04120879120876,2.381080959065579,2.477371048374385,-2.1345426898032374
1033,3.887652136779642,2.112347863220358,77.75304273559284,42.24695726440716,23.642578125,10.953043413219094,-105.39780673749819,-61.510484347545926,492.2994505494505,235.16666666666663,2.421074317012921,2.5296555836003365,-1.1476129472769685
1066,3.831968023869997,2.1680319761300026,76.63936047739995,43.36063952260005,20.7421875,9.152520564311828,-87.39627722850865,-46.99834387924749,479.17857142857144,247.9230769230769,2.421074317012921,2.531142957935511,-1.113682258192891
1100,3.746642064421626,2.253357935578374,74.93284128843251,45.06715871156749,19.775390625,7.824697280486095,-28.892867780583753,-32.36604706493608,469.70238095238085,256.6703296703296,2.496355555780929,2.531142957935511,-1.7065191889674316
1133,3.680882181322235,2.319117818677765,73.6176436264447,46.3823563735553,18.10546875,6.98991648146874,-50.19487719675196,-17.81800084794311,459.6794871794871,265.9642857142857,2.4965868762435557,2.586237909198468,-1.3151976619878056
1166,3.640174869847064,2.359825130152936,72.80349739694128,47.19650260305872,15.908203125,6.638630603980555,-65.74015739985882,-3.2022969400596253,449.83882783882785,275.44047619047615,2.535513251091204,2.597941087003373,-0.814146229503423
1200,3.5960598321344106,2.4039401678655894,71.92119664268822,48.078803357311784,14.501953125,6.617076542297601,-42.26781646299,-0.7576026385242909,441.4560439560439,282.547619047619,2.535513251091204,2.608291809194035,-0.882300754253067
1233,3.5488717841457227,2.4511282158542773,70.97743568291445,49.02256431708555,13.53515625,6.575619136250589,-29.01256853124843,-1.730584622252076,436.7179487179487,290.2014652014652,2.5550682232139477,2.608291809194035,-0.9437609597737647
1266,3.5073347558997807,2.492665244100219,70.14669511799562,49.85330488200438,12.48046875,6.501521647270223,-31.57404512879827,-2.705909526008388,430.3397435897436,294.2106227106227,2.563741026777487,2.625525759362588,-0.8307405649188273
1300,3.4703517034317084,2.5296482965682916,69.40703406863416,50.59296593136584,11.42578125,6.395049106352116,-31.626610616548096,-3.679613376218935,424.3260073260073,299.6776556776557,2.5738021509362974,2.631026874505959,-0.7396610493614546
1333,3.4340786421152982,2.5659213578847018,68.68157284230597,51.31842715769403,10.546875,6.256766036840222,-26.468242983568803,-4.649170005067822,418.67673992673986,304.4157509157509,2.5738021509362974,2.6357285233421943,-0.7254612263281901
1366,3.399029969454881,2.6009700305451195,67.98059938909762,52.01940061090239,9.755859375,6.085090038857625,-23.66955066452245,-5.624947480617883,413.3919413919414,307.69597069597063,2.5823392208651943,2.6357285233421943,-0.7009734532083554
1400,3.3626300650200323,2.6373699349799677,67.25260130040064,52.74739869959936,9.140625,5.881599100609218,-18.476229718204593,-6.597208736354053,409.5650183150183,313.1630036630037,2.586051875346342,2.6410814303507713,-0.7279980886969784
1433,3.329366365624145,2.6706336343758554,66.5873273124829,53.41267268751711,8.4375,5.645024983675786,-21.05654329678213,-7.572201073016412,405.9203296703297,317.17216117216117,2.5885510727414855,2.6474253931613028,-0.6652739879177504
1466,3.2979416834535416,2.702058316546458,65.95883366907083,54.041166330929165,7.734375,5.377011059786266,-21.139321091142726,-8.543375514354725,401.3644688644688,321.36355311355305,2.5885510727414855,2.6497743440396104,-0.628493643412064
1500,3.2662169316233842,2.7337830683766158,65.32433863246769,54.675661367532314,7.119140625,5.076549959722878,-18.488465340562087,-9.514993329905954,398.26648351648345,325.73717948717945,2.592377372978401,2.6497743440396104,-0.6344950366031431
1533,3.2353186497137134,2.7646813502862866,64.70637299427428,55.29362700572573,6.50390625,4.7417992490022645,-18.385363263659922,-10.492059817496013,393.52838827838826,329.0173992673992,2.5948209110605815,2.6534588930009786,-0.617965638193416
1566,3.209282652700841,2.790717347299159,64.18565305401681,55.81434694598319,5.712890625,4.376932283705598,-23.798324912778863,-11.462557299124652,389.15476190476187,332.4798534798535,2.5967767495129372,2.656726853171937,-0.5207199402574674
1600,3.181219892648154,2.818780107351846,63.624397852963085,56.375602147036915,5.09765625,3.977695229875801,-18.415692258042256,-12.438014645793045,386.42124542124543,336.489010989011,2.5967767495129372,2.6570063062488174,-0.5612552010537282
1633,3.153711357463325,2.846288642536675,63.074227149266505,56.925772850733495,4.482421875,3.547753978333485,-18.49345651757788,-13.409370232565974,382.0476190476191,339.95146520146517,2.5990279575520376,2.6603011925748423,-0.5501707036965812
1666,3.126568953774616,2.873431046225384,62.53137907549232,57.46862092450768,3.8671875,3.08546324415041,-18.49082193208519,-14.318380842487848,379.3141025641026,342.3205128205128,2.599337843402997,2.6603011925748423,-0.5428480737741855
1700,3.102759009733343,2.897240990266657,62.05518019466685,57.94481980533315,3.1640625,2.62291022751291,-21.023093695598348,-13.341837206797344,376.5805860805861,346.14743589743586,2.6007351558550535,2.662609960468475,-0.47619888082546746
1733,3.0794457760232046,2.9205542239767954,61.5889155204641,58.4110844795359,2.548828125,2.195768224357286,-18.518320221185196,-12.371785814849773,373.8470695970696,349.9743589743589,2.6016603289879496,2.6624905492780506,-0.46626467420275164
