ms,valve_a_pct,valve_b_pct,q_des,pid_u,adc0_raw,adc0_volt,adc0_kpa,adc1_raw,adc1_volt,adc1_kpa,tension_0x2B,tension_0x2A,enc_deg
0,0.0,0.0,,,1249,1.525,81.4,1200,1.465,72.4,,,-0.000
33,0.0,0.0,,,1202,1.468,72.8,1158,1.414,64.8,,,-0.000
66,0.0,0.0,,,1165,1.422,66.1,1120,1.368,57.9,,,-0.000
100,0.0,0.0,,,1124,1.372,58.6,1078,1.316,50.2,,,-0.000
133,0.0,0.0,,,1087,1.327,51.8,1043,1.274,43.8,,,-0.000
167,0.0,0.0,,,1051,1.283,45.3,1008,1.231,37.4,,,-0.000
200,0.0,0.0,,,1013,1.237,38.4,971,1.186,30.7,2.28530,2.36740,-0.000
233,0.0,0.0,,,987,1.205,33.6,946,1.155,26.1,2.28530,2.36740,-0.000
266,0.0,0.0,,,955,1.166,27.8,918,1.121,21.0,2.28530,2.36740,-0.000
300,0.0,0.0,,,931,1.137,23.4,894,1.092,16.7,2.28530,2.36740,-0.000
333,0.0,0.0,,,905,1.105,18.7,875,1.068,13.2,2.28530,2.36740,-0.000
366,0.0,0.0,,,883,1.078,14.7,858,1.048,10.1,2.28530,2.36740,-0.000
400,0.0,0.0,,,865,1.056,11.4,844,1.031,7.6,2.28530,2.36740,-0.000
433,0.0,0.0,,,853,1.042,9.2,830,1.013,5.0,2.28482,2.36674,-0.000
466,0.0,0.0,,,844,1.031,7.6,828,1.011,4.6,2.28482,2.36674,-0.000
500,0.0,0.0,,,835,1.020,5.9,820,1.001,3.2,2.28482,2.36674,-0.264
533,0.0,0.0,,,831,1.015,5.2,819,1.000,3.0,2.28482,2.36674,-0.615
566,0.0,0.0,,,825,1.007,4.1,818,0.999,2.8,2.28482,2.36674,-1.055
600,0.0,0.0,,,825,1.007,4.1,819,1.000,3.0,2.28482,2.36674,-1.582
633,0.0,0.0,,,827,1.010,4.5,818,0.999,2.8,2.28482,2.36674,-2.021
666,0.0,0.0,,,827,1.010,4.5,821,1.002,3.4,2.28522,2.36764,-2.549
700,0.0,0.0,,,826,1.009,4.3,817,0.998,2.6,2.28522,2.36764,-3.076
733,0.0,0.0,,,824,1.006,3.9,810,0.989,1.4,2.28522,2.36764,-3.691
766,0.0,0.0,,,828,1.011,4.6,817,0.998,2.6,2.28522,2.36764,-4.219
800,0.0,0.0,,,824,1.006,3.9,815,0.995,2.3,2.28522,2.36764,-4.746
833,0.0,0.0,,,827,1.010,4.5,816,0.996,2.5,2.28522,2.36764,-5.186
866,0.0,0.0,,,828,1.011,4.6,819,1.000,3.0,2.28522,2.36764,-5.625
900,0.0,0.0,,,825,1.007,4.1,821,1.002,3.4,2.28415,2.36899,-5.977
933,0.0,0.0,,,822,1.004,3.5,816,0.996,2.5,2.28415,2.36899,-6.416
966,0.0,0.0,,,823,1.005,3.7,820,1.001,3.2,2.28415,2.36899,-6.943
1000,0.0,0.0,,,825,1.007,4.1,816,0.996,2.5,2.28415,2.36899,-7.471
1033,0.0,0.0,,,827,1.010,4.5,818,0.999,2.8,2.28415,2.36899,-7.998
1066,0.0,0.0,,,826,1.009,4.3,819,1.000,3.0,2.28415,2.36899,-8.438
1100,0.0,0.0,,,823,1.005,3.7,817,0.998,2.6,2.28415,2.36899,-8.965
1133,0.0,0.0,,,827,1.010,4.5,822,1.004,3.5,2.28664,2.36865,-9.492
1166,0.0,0.0,,,824,1.006,3.9,819,1.000,3.0,2.28664,2.36865,-9.844
1200,0.0,0.0,,,828,1.011,4.6,817,0.998,2.6,2.28664,2.36865,-10.283
1233,0.0,0.0,,,827,1.010,4.5,820,1.001,3.2,2.28664,2.36865,-10.547
1267,0.0,0.0,,,831,1.015,5.2,817,0.998,2.6,2.28664,2.36865,-10.898
1300,0.0,0.0,,,827,1.010,4.5,818,0.999,2.8,2.28664,2.36865,-11.074
1333,0.0,0.0,,,824,1.006,3.9,821,1.002,3.4,2.28610,2.36801,-11.250
1366,0.0,0.0,,,826,1.009,4.3,816,0.996,2.5,2.28610,2.36801,-11.250
1400,0.0,0.0,,,824,1.006,3.9,814,0.994,2.1,2.28610,2.36801,-11.338
1433,0.0,0.0,,,828,1.011,4.6,820,1.001,3.2,2.28610,2.36801,-11.338
1466,0.0,0.0,,,825,1.007,4.1,819,1.000,3.0,2.28610,2.36801,-11.338
1500,0.0,0.0,,,826,1.009,4.3,822,1.004,3.5,2.28610,2.36801,-11.338
1533,0.0,0.0,,,824,1.006,3.9,816,0.996,2.5,2.28610,2.36801,-11.426
1566,0.0,0.0,,,822,1.004,3.5,816,0.996,2.5,2.28667,2.36964,-11.426
1600,0.0,0.0,,,830,1.013,5.0,823,1.005,3.7,2.28667,2.36964,-11.426
1633,0.0,0.0,,,822,1.004,3.5,818,0.999,2.8,2.28667,2.36964,-11.426
1666,0.0,0.0,,,829,1.012,4.8,820,1.001,3.2,2.28667,2.36964,-11.426
1700,0.0,0.0,,,822,1.004,3.5,817,0.998,2.6,2.28667,2.36964,-11.426
1734,0.0,0.0,,,824,1.006,3.9,819,1.000,3.0,2.28667,2.36964,-11.426
1767,0.0,0.0,,,831,1.015,5.2,818,0.999,2.8,2.28611,2.36900,-11.426
1800,0.0,0.0,,,822,1.004,3.5,818,0.999,2.8,2.28611,2.36900,-11.338
